iter	Passed	Remaining
0	161	48240
1	176	26229
2	193	19140
3	210	15575
4	227	13407
5	244	11965
6	261	10927
7	274	10010
8	290	9404
9	307	8919
10	323	8511
11	341	8188
12	358	7909
13	375	7667
14	391	7444
15	408	7253
16	425	7081
17	442	6932
18	459	6790
19	476	6671
20	493	6558
21	511	6457
22	527	6356
23	545	6271
24	562	6185
25	579	6107
26	600	6071
27	625	6074
28	645	6030
29	663	5968
30	681	5913
31	698	5852
32	719	5818
33	736	5762
34	753	5707
35	771	5654
36	781	5558
37	807	5566
38	825	5525
39	843	5483
40	861	5443
41	880	5411
42	899	5375
43	916	5332
44	934	5292
45	952	5258
46	969	5216
47	986	5176
48	1002	5136
49	1020	5100
50	1037	5065
51	1055	5033
52	1088	5073
53	1105	5037
54	1122	5000
55	1163	5070
56	1180	5033
57	1196	4994
58	1213	4958
59	1230	4921
60	1249	4894
61	1266	4861
62	1284	4832
63	1303	4806
64	1320	4774
65	1337	4741
66	1353	4708
67	1370	4674
68	1387	4643
69	1403	4610
70	1420	4580
71	1437	4552
72	1455	4525
73	1474	4502
74	1495	4486
75	1530	4511
76	1551	4492
77	1568	4464
78	1590	4449
79	1607	4421
80	1624	4392
81	1642	4367
82	1660	4341
83	1682	4327
84	1732	4381
85	1748	4351
86	1765	4322
87	1781	4292
88	1798	4264
89	1815	4235
90	1831	4207
91	1848	4179
92	1865	4152
93	1883	4127
94	1901	4102
95	1917	4074
96	1935	4050
97	1967	4055
98	1985	4032
99	2003	4006
100	2020	3981
101	2038	3957
102	2055	3931
103	2073	3907
104	2095	3892
105	2129	3898
106	2158	3893
107	2221	3949
108	2239	3925
109	2256	3897
110	2273	3871
111	2291	3847
112	2314	3830
113	2332	3806
114	2349	3780
115	2366	3753
116	2383	3728
117	2401	3703
118	2418	3677
119	2435	3652
120	2451	3626
121	2469	3603
122	2502	3601
123	2520	3577
124	2538	3554
125	2556	3530
126	2574	3507
127	2599	3493
128	2616	3468
129	2635	3446
130	2652	3421
131	2668	3396
132	2685	3372
133	2702	3348
134	2720	3325
135	2751	3317
136	2769	3295
137	2787	3272
138	2827	3274
139	2843	3250
140	2860	3225
141	2876	3200
142	2893	3177
143	2912	3154
144	2930	3132
145	2949	3110
146	2967	3088
147	2984	3065
148	3001	3041
149	3017	3017
150	3033	2993
151	3049	2969
152	3066	2946
153	3083	2923
154	3100	2900
155	3120	2880
156	3142	2862
157	3160	2840
158	3183	2822
159	3202	2802
160	3236	2794
161	3254	2772
162	3271	2749
163	3288	2727
164	3305	2704
165	3324	2683
166	3345	2664
167	3363	2642
168	3382	2621
169	3399	2599
170	3416	2577
171	3432	2554
172	3449	2532
173	3466	2509
174	3482	2487
175	3499	2465
176	3516	2443
177	3535	2423
178	3554	2402
179	3572	2381
180	3590	2360
181	3612	2342
182	3630	2320
183	3646	2298
184	3663	2277
185	3679	2255
186	3696	2233
187	3712	2211
188	3729	2190
189	3746	2169
190	3763	2147
191	3780	2126
192	3799	2106
193	3817	2085
194	3833	2064
195	3850	2043
196	3866	2021
197	3883	2000
198	3900	1979
199	3917	1958
200	3934	1937
201	3952	1917
202	3970	1897
203	3988	1876
204	4006	1856
205	4026	1837
206	4043	1816
207	4061	1796
208	4081	1777
209	4101	1757
210	4118	1737
211	4136	1717
212	4154	1696
213	4171	1676
214	4207	1663
215	4230	1645
216	4251	1626
217	4269	1606
218	4287	1585
219	4305	1565
220	4323	1545
221	4340	1525
222	4359	1505
223	4394	1491
224	4412	1470
225	4431	1451
226	4448	1430
227	4464	1409
228	4481	1389
229	4497	1368
230	4514	1348
231	4530	1328
232	4548	1307
233	4567	1288
234	4585	1268
235	4604	1248
236	4625	1229
237	4645	1210
238	4664	1190
239	4683	1170
240	4700	1150
241	4719	1131
242	4737	1111
243	4754	1091
244	4773	1071
245	4791	1051
246	4809	1032
247	4829	1012
248	4849	993
249	4869	973
250	4886	954
251	4903	934
252	4919	913
253	4936	893
254	4952	873
255	4969	854
256	4986	834
257	5003	814
258	5020	794
259	5038	775
260	5054	755
261	5080	736
262	5097	717
263	5113	697
264	5129	677
265	5146	657
266	5162	638
267	5180	618
268	5198	599
269	5215	579
270	5234	560
271	5251	540
272	5267	520
273	5284	501
274	5301	481
275	5318	462
276	5334	442
277	5352	423
278	5370	404
279	5390	385
280	5410	365
281	5431	346
282	5451	327
283	5470	308
284	5487	288
285	5503	269
286	5520	250
287	5536	230
288	5552	211
289	5568	192
290	5587	172
291	5604	153
292	5623	134
293	5642	115
294	5660	95
295	5678	76
296	5695	57
297	5711	38
298	5728	19
299	5744	0
